,南部 (kgCO2e/kWh),北部 (kgCO2e/kWh),中部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2021/1/1 0:00,0.398916706,0.428885086,0.581827067,0.44095275,0.473219825
2021/1/1 1:00,0.409486856,0.431233811,0.600919041,0.455715883,0.484434405
2021/1/1 2:00,0.414718562,0.434019139,0.606747795,0.462323971,0.490683363
2021/1/1 3:00,0.412762656,0.431133513,0.607138201,0.473912067,0.494114739
2021/1/1 4:00,0.410124212,0.429686026,0.604466708,0.474924742,0.495564767
2021/1/1 5:00,0.41400357,0.432757777,0.600171799,0.47565904,0.496569922
2021/1/1 6:00,0.420852186,0.438334665,0.597226723,0.48129408,0.498140896
2021/1/1 7:00,0.417914406,0.440477078,0.59292941,0.483580275,0.49712289
2021/1/1 8:00,0.399803341,0.439762914,0.582989759,0.475219819,0.490816273
2021/1/1 9:00,0.396889371,0.452700201,0.576723211,0.477752608,0.49228789
2021/1/1 10:00,0.395079656,0.45895809,0.569574776,0.483801127,0.49229371
2021/1/1 11:00,0.395238091,0.462533106,0.553062939,0.47538291,0.484930236
2021/1/1 12:00,0.396600713,0.468918335,0.54867396,0.450706875,0.485133432
2021/1/1 13:00,0.396312137,0.466882056,0.551597144,0.453062664,0.484412952
2021/1/1 14:00,0.396032025,0.46346254,0.559259054,0.455424843,0.483943165
2021/1/1 15:00,0.396399507,0.462839584,0.566832045,0.45794672,0.482717184
2021/1/1 16:00,0.401860624,0.4430574,0.5608955,0.446523173,0.473082794
2021/1/1 17:00,0.416279895,0.435561033,0.531785121,0.417536399,0.464712654
2021/1/1 18:00,0.41989124,0.436763866,0.518086691,0.409139925,0.46036553
2021/1/1 19:00,0.418374277,0.437769048,0.525491821,0.413435503,0.462933043
2021/1/1 20:00,0.418180949,0.432694869,0.511131471,0.40702332,0.456433414
2021/1/1 21:00,0.419324795,0.436734969,0.523502084,0.418071116,0.462167215
2021/1/1 22:00,0.405610047,0.443805012,0.551188952,0.431844926,0.47186636
2021/1/1 23:00,0.398747577,0.44442832,0.566301244,0.434456948,0.475605011
2021/1/2 0:00,0.397767034,0.433463863,0.54098976,0.444421066,0.465093919
2021/1/2 1:00,0.397249037,0.423603035,0.568481903,0.458145116,0.472219656
2021/1/2 2:00,0.397401158,0.411453043,0.581447801,0.461173415,0.472925168
2021/1/2 3:00,0.397616807,0.404477057,0.57528771,0.451704703,0.466960587
2021/1/2 4:00,0.397449733,0.407038494,0.573459395,0.449996536,0.465458984
2021/1/2 5:00,0.397033132,0.415341266,0.561782105,0.446110268,0.463060802
2021/1/2 6:00,0.402310798,0.417435472,0.567541779,0.453799948,0.467177551
2021/1/2 7:00,0.405989476,0.427441231,0.576607177,0.46041483,0.474842073
2021/1/2 8:00,0.396555037,0.4274312,0.550460023,0.441291421,0.461546767
2021/1/2 9:00,0.396394181,0.432762817,0.540008934,0.428547241,0.460767378
2021/1/2 10:00,0.39650131,0.440166761,0.53022937,0.426577463,0.460600843
2021/1/2 11:00,0.396899941,0.44551841,0.526248841,0.426114586,0.460306028
2021/1/2 12:00,0.395915515,0.454299901,0.521018485,0.431329131,0.46161821
2021/1/2 13:00,0.396658113,0.462013238,0.527501985,0.439609539,0.464957666
2021/1/2 14:00,0.397575306,0.45956515,0.531858948,0.437636818,0.464112019
2021/1/2 15:00,0.398419828,0.456751181,0.548639397,0.441951717,0.470055484
2021/1/2 16:00,0.396548008,0.449954287,0.550592629,0.436679008,0.468928969
2021/1/2 17:00,0.403049973,0.446803689,0.542859825,0.424075268,0.465972899
2021/1/2 18:00,0.412135619,0.443057648,0.528604205,0.418045106,0.462760773
