,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024/5/1 0:00,0.431668411,0.67100791,0.506536973,0.431155748,0.530925828
2024/5/1 1:00,0.427458263,0.732964088,0.516222602,0.468062619,0.548487817
2024/5/1 2:00,0.427389003,0.733612726,0.503450436,0.509466483,0.551848628
2024/5/1 3:00,0.427222911,0.735092614,0.51726852,0.540848364,0.559372774
2024/5/1 4:00,0.427143419,0.681494774,0.507406073,0.513383424,0.543547701
2024/5/1 5:00,0.425325033,0.624657137,0.505610068,0.48580564,0.524262687
2024/5/1 6:00,0.407718526,0.639580662,0.498535126,0.493113781,0.520595168
2024/5/1 7:00,0.384454359,0.618174135,0.495497813,0.458407599,0.506176278
2024/5/1 8:00,0.312972605,0.562855322,0.515642023,0.425218931,0.471177488
2024/5/1 9:00,0.317052472,0.511323007,0.526193143,0.384613773,0.460701986
2024/5/1 10:00,0.256457354,0.48295942,0.524212033,0.371295368,0.422090007
2024/5/1 11:00,0.297033239,0.479889305,0.516041715,0.36576488,0.436701478
2024/5/1 12:00,0.349415169,0.56877187,0.527445986,0.418032021,0.486420942
2024/5/1 13:00,0.343395464,0.637998316,0.527253237,0.431592204,0.502300195
2024/5/1 14:00,0.403226878,0.645257002,0.52987215,0.462542454,0.532533803
2024/5/1 15:00,0.434443007,0.652265124,0.52502169,0.485408176,0.543148844
2024/5/1 16:00,0.408987547,0.662658882,0.538118406,0.523684174,0.539310638
2024/5/1 17:00,0.42286584,0.673355146,0.541379764,0.53142222,0.547168173
2024/5/1 18:00,0.423854652,0.658179596,0.522468734,0.506180413,0.533296529
2024/5/1 19:00,0.420440538,0.652152833,0.510075073,0.483029823,0.525586577
2024/5/1 20:00,0.426532637,0.602615365,0.514963191,0.446609358,0.515538149
2024/5/1 21:00,0.425727946,0.598808009,0.521161228,0.436880705,0.515794248
2024/5/1 22:00,0.426459545,0.625347646,0.529259055,0.39222672,0.525510597
2024/5/1 23:00,0.426071523,0.625317229,0.546785013,0.396220028,0.532065385
2024/5/2 0:00,0.425614827,0.6371421,0.532020593,0.422427606,0.531437635
2024/5/2 1:00,0.425940694,0.66322643,0.517598275,0.446128713,0.535740163
2024/5/2 2:00,0.426166809,0.650072184,0.511634791,0.449755621,0.530029673
2024/5/2 3:00,0.426811009,0.65300298,0.5158728,0.474477716,0.533246356
2024/5/2 4:00,0.429907071,0.626653177,0.512181236,0.465337891,0.526371932
2024/5/2 5:00,0.434934884,0.629327683,0.508986214,0.495431338,0.529386145
2024/5/2 6:00,0.406996158,0.625400599,0.51614998,0.513614071,0.517917914
2024/5/2 7:00,0.367477611,0.559831003,0.517376907,0.473485151,0.482410816
2024/5/2 8:00,0.315404228,0.453234222,0.504807105,0.381503723,0.425671533
2024/5/2 9:00,0.264030301,0.378869103,0.485732223,0.324106686,0.374305481
2024/5/2 10:00,0.249282856,0.319665759,0.465606765,0.28319766,0.342352789
2024/5/2 11:00,0.241406509,0.305721158,0.456952379,0.272132033,0.332152301
2024/5/2 12:00,0.240870522,0.314385807,0.4633952,0.282403138,0.336196981
2024/5/2 13:00,0.248007211,0.344432072,0.471129272,0.300793992,0.351592317
2024/5/2 14:00,0.266368132,0.380267695,0.478205418,0.321394003,0.372054477
2024/5/2 15:00,0.309685478,0.42519624,0.492673396,0.354150745,0.409456926
2024/5/2 16:00,0.361757409,0.48091535,0.499532069,0.386893132,0.449122631
2024/5/2 17:00,0.398212872,0.517995292,0.512087951,0.402914535,0.476316278
2024/5/2 18:00,0.422998149,0.540453992,0.504701958,0.416611543,0.489044514
2024/5/2 19:00,0.425214329,0.538074736,0.505342253,0.413987164,0.488976706
2024/5/2 20:00,0.426538494,0.555900378,0.509990501,0.415781291,0.495908818
2024/5/2 21:00,0.42577325,0.559735068,0.511277008,0.417826668,0.497221624
2024/5/2 22:00,0.425334799,0.563309007,0.510593077,0.40593458,0.497878964
2024/5/2 23:00,0.424838405,0.565881458,0.520257484,0.413515141,0.503402186
2024/5/3 0:00,0.424747409,0.564929743,0.533245444,0.416695311,0.505453511
2024/5/3 1:00,0.424455581,0.602696273,0.534964758,0.443010782,0.517862619
2024/5/3 2:00,0.423478124,0.611487929,0.536982599,0.459730303,0.523981106
2024/5/3 3:00,0.423118099,0.609334068,0.535789802,0.459311338,0.523022191
2024/5/3 4:00,0.423371427,0.613248094,0.538815912,0.459905651,0.525243198
2024/5/3 5:00,0.424251976,0.606601809,0.52925176,0.459396752,0.520634264
2024/5/3 6:00,0.407685297,0.583690972,0.521732367,0.452338495,0.505204192
2024/5/3 7:00,0.363564803,0.502036692,0.522185848,0.408584609,0.46239637
2024/5/3 8:00,0.322593016,0.429666518,0.491989338,0.357060621,0.415965273
2024/5/3 9:00,0.27324117,0.370913956,0.470444321,0.311042401,0.369908833
2024/5/3 10:00,0.261669639,0.363996217,0.467250416,0.307808133,0.362339139
2024/5/3 11:00,0.24557375,0.337378541,0.458531179,0.289878603,0.345224508
2024/5/3 12:00,0.245912371,0.348550608,0.469335578,0.309299276,0.353198919
2024/5/3 13:00,0.252931737,0.367538106,0.476394087,0.320011571,0.36464128
2024/5/3 14:00,0.27135379,0.395665574,0.479200266,0.319689926,0.380763123
2024/5/3 15:00,0.301407892,0.431840857,0.483436985,0.327520054,0.404316253
2024/5/3 16:00,0.362274191,0.463071611,0.489721154,0.355822566,0.438733002
2024/5/3 17:00,0.408889353,0.509015174,0.496718406,0.416789462,0.472231227
2024/5/3 18:00,0.422500239,0.547895586,0.502894275,0.419855003,0.48992525
